Year,Gender,Age,Value
2017-18,Total,Total,4.5
2017-18,Total,0 to 5,0.8
2017-18,Total,6 to 10,4.0
2017-18,Total,11 to 15,7.6
2017-18,Total,16,10.2
2017-18,Total,17,9.6
2017-18,Total,18,7.4
2017-18,Total,19,6.0
2017-18,Total,20 to 29,4.9
2017-18,Total,30 to 39,4.2
2017-18,Total,40 to 49,3.8
2017-18,Total,50 to 59,3.4
2017-18,Total,60 to 69,2.7
2017-18,Total,70 to 79,4.6
2017-18,Total,80 to 89,11.6
2017-18,Total,90 or over,17.0
2017-18,Males,Total,4.4
2017-18,Males,0 to 5,1.0
2017-18,Males,6 to 10,5.3
2017-18,Males,11 to 15,7.7
2017-18,Males,16,8.6
2017-18,Males,17,7.9
2017-18,Males,18,6.4
2017-18,Males,19,5.3
2017-18,Males,20 to 29,4.7
2017-18,Males,30 to 39,4.1
2017-18,Males,40 to 49,3.9
2017-18,Males,50 to 59,3.4
2017-18,Males,60 to 69,2.7
2017-18,Males,70 to 79,4.3
2017-18,Males,80 to 89,10.7
2017-18,Males,90 or over,15.6
2017-18,Females,Total,4.6
2017-18,Females,0 to 5,0.5
2017-18,Females,6 to 10,2.6
2017-18,Females,11 to 15,7.4
2017-18,Females,16,11.8
2017-18,Females,17,11.3
2017-18,Females,18,8.5
2017-18,Females,19,6.7
2017-18,Females,20 to 29,5.2
2017-18,Females,30 to 39,4.2
2017-18,Females,40 to 49,3.7
2017-18,Females,50 to 59,3.4
2017-18,Females,60 to 69,2.7
2017-18,Females,70 to 79,4.8
2017-18,Females,80 to 89,12.1
2017-18,Females,90 or over,17.6
2018-19,Total,Total,4.9
2018-19,Total,0 to 5,0.9
2018-19,Total,6 to 10,4.7
2018-19,Total,11 to 15,9.2
2018-19,Total,16,12.0
2018-19,Total,17,10.9
2018-19,Total,18,8.4
2018-19,Total,19,6.6
2018-19,Total,20 to 29,5.4
2018-19,Total,30 to 39,4.5
2018-19,Total,40 to 49,3.9
2018-19,Total,50 to 59,3.5
2018-19,Total,60 to 69,2.8
2018-19,Total,70 to 79,4.5
2018-19,Total,80 to 89,11.3
2018-19,Total,90 or over,17.0
2018-19,Males,Total,4.7
2018-19,Males,0 to 5,1.2
2018-19,Males,6 to 10,6.1
2018-19,Males,11 to 15,8.9
2018-19,Males,16,10.0
2018-19,Males,17,9.2
2018-19,Males,18,7.1
2018-19,Males,19,5.8
2018-19,Males,20 to 29,5.1
2018-19,Males,30 to 39,4.4
2018-19,Males,40 to 49,4.0
2018-19,Males,50 to 59,3.5
2018-19,Males,60 to 69,2.8
2018-19,Males,70 to 79,4.3
2018-19,Males,80 to 89,10.5
2018-19,Males,90 or over,15.7
2018-19,Females,Total,5.0
2018-19,Females,0 to 5,0.6
2018-19,Females,6 to 10,3.0
2018-19,Females,11 to 15,9.2
2018-19,Females,16,13.9
2018-19,Females,17,12.6
2018-19,Females,18,9.6
2018-19,Females,19,7.4
2018-19,Females,20 to 29,5.8
2018-19,Females,30 to 39,4.5
2018-19,Females,40 to 49,3.8
2018-19,Females,50 to 59,3.5
2018-19,Females,60 to 69,2.8
2018-19,Females,70 to 79,4.7
2018-19,Females,80 to 89,11.9
2018-19,Females,90 or over,17.7
2019-20,Total,Total,5.1
2019-20,Total,0 to 5,1.1
2019-20,Total,6 to 10,5.3
2019-20,Total,11 to 15,11.1
2019-20,Total,16,14.6
2019-20,Total,17,12.7
2019-20,Total,18,9.4
2019-20,Total,19,7.1
2019-20,Total,20 to 29,5.7
2019-20,Total,30 to 39,4.6
2019-20,Total,40 to 49,3.9
2019-20,Total,50 to 59,3.4
2019-20,Total,60 to 69,2.8
2019-20,Total,70 to 79,4.3
2019-20,Total,80 to 89,10.9
2019-20,Total,90 or over,16.1
2019-20,Males,Total,4.8
2019-20,Males,0 to 5,1.4
2019-20,Males,6 to 10,6.7
2019-20,Males,11 to 15,9.7
2019-20,Males,16,11.2
2019-20,Males,17,10.1
2019-20,Males,18,7.7
2019-20,Males,19,6.0
2019-20,Males,20 to 29,5.2
2019-20,Males,30 to 39,4.4
2019-20,Males,40 to 49,4.0
2019-20,Males,50 to 59,3.4
2019-20,Males,60 to 69,2.8
2019-20,Males,70 to 79,4.1
2019-20,Males,80 to 89,10.2
2019-20,Males,90 or over,14.8
2019-20,Females,Total,5.2
2019-20,Females,0 to 5,0.7
2019-20,Females,6 to 10,3.4
2019-20,Females,11 to 15,11.5
2019-20,Females,16,17.0
2019-20,Females,17,14.7
2019-20,Females,18,10.7
2019-20,Females,19,8.1
2019-20,Females,20 to 29,6.2
2019-20,Females,30 to 39,4.7
2019-20,Females,40 to 49,3.8
2019-20,Females,50 to 59,3.4
2019-20,Females,60 to 69,2.8
2019-20,Females,70 to 79,4.5
2019-20,Females,80 to 89,11.5
2019-20,Females,90 or over,16.7
2020-21,Total,Total,5.0
2020-21,Total,0 to 5,1.2
2020-21,Total,6 to 10,5.2
2020-21,Total,11 to 15,10.7
2020-21,Total,16,14.6
2020-21,Total,17,13.6
2020-21,Total,18,10.0
2020-21,Total,19,7.3
2020-21,Total,20 to 29,5.8
2020-21,Total,30 to 39,4.6
2020-21,Total,40 to 49,3.7
2020-21,Total,50 to 59,3.2
2020-21,Total,60 to 69,2.6
2020-21,Total,70 to 79,3.9
2020-21,Total,80 to 89,9.8
2020-21,Total,90 or over,14.7
2020-21,Males,Total,4.7
2020-21,Males,0 to 5,1.5
2020-21,Males,6 to 10,6.6
2020-21,Males,11 to 15,9.2
2020-21,Males,16,10.8
2020-21,Males,17,10.5
2020-21,Males,18,7.8
2020-21,Males,19,6.0
2020-21,Males,20 to 29,5.0
2020-21,Males,30 to 39,4.3
2020-21,Males,40 to 49,3.8
2020-21,Males,50 to 59,3.2
2020-21,Males,60 to 69,2.6
2020-21,Males,70 to 79,3.7
2020-21,Males,80 to 89,9.1
2020-21,Males,90 or over,13.5
2020-21,Females,Total,5.1
2020-21,Females,0 to 5,0.7
2020-21,Females,6 to 10,3.5
2020-21,Females,11 to 15,11.5
2020-21,Females,16,17.8
2020-21,Females,17,16.3
2020-21,Females,18,11.8
2020-21,Females,19,8.3
2020-21,Females,20 to 29,6.4
2020-21,Females,30 to 39,4.8
2020-21,Females,40 to 49,3.6
2020-21,Females,50 to 59,3.2
2020-21,Females,60 to 69,2.6
2020-21,Females,70 to 79,4.1
2020-21,Females,80 to 89,10.3
2020-21,Females,90 or over,15.2
2021-22,Total,Total,5.8
2021-22,Total,0 to 5,1.4
2021-22,Total,6 to 10,6.3
2021-22,Total,11 to 15,14.8
2021-22,Total,16,18.2
2021-22,Total,17,16.6
2021-22,Total,18,12.4
2021-22,Total,19,8.6
2021-22,Total,20 to 29,6.6
2021-22,Total,30 to 39,5.2
2021-22,Total,40 to 49,4.0
2021-22,Total,50 to 59,3.4
2021-22,Total,60 to 69,2.9
2021-22,Total,70 to 79,4.3
2021-22,Total,80 to 89,10.4
2021-22,Total,90 or over,15.8
2021-22,Males,Total,5.2
2021-22,Males,0 to 5,1.8
2021-22,Males,6 to 10,7.7
2021-22,Males,11 to 15,11.6
2021-22,Males,16,12.6
2021-22,Males,17,12.0
2021-22,Males,18,9.1
2021-22,Males,19,6.5
2021-22,Males,20 to 29,5.4
2021-22,Males,30 to 39,4.8
2021-22,Males,40 to 49,4.0
2021-22,Males,50 to 59,3.4
2021-22,Males,60 to 69,2.9
2021-22,Males,70 to 79,4.1
2021-22,Males,80 to 89,9.7
2021-22,Males,90 or over,14.7
2021-22,Females,Total,6.1
2021-22,Females,0 to 5,0.9
2021-22,Females,6 to 10,4.5
2021-22,Females,11 to 15,16.6
2021-22,Females,16,22.8
2021-22,Females,17,20.5
2021-22,Females,18,15.2
2021-22,Females,19,10.3
2021-22,Females,20 to 29,7.7
2021-22,Females,30 to 39,5.6
2021-22,Females,40 to 49,4.0
2021-22,Females,50 to 59,3.4
2021-22,Females,60 to 69,2.9
2021-22,Females,70 to 79,4.5
2021-22,Females,80 to 89,11.0
2021-22,Females,90 or over,16.3
2022-23,Total,Total,6.3
2022-23,Total,0 to 5,1.5
2022-23,Total,6 to 10,7.4
2022-23,Total,11 to 15,16.7
2022-23,Total,16,19.3
2022-23,Total,17,17.0
2022-23,Total,18,12.9
2022-23,Total,19,9.2
2022-23,Total,20 to 29,7.3
2022-23,Total,30 to 39,5.9
2022-23,Total,40 to 49,4.4
2022-23,Total,50 to 59,3.7
2022-23,Total,60 to 69,3.2
2022-23,Total,70 to 79,4.6
2022-23,Total,80 to 89,11.2
2022-23,Total,90 or over,16.8
2022-23,Males,Total,5.4
2022-23,Males,0 to 5,2.1
2022-23,Males,6 to 10,9.3
2022-23,Males,11 to 15,13.9
2022-23,Males,16,14.0
2022-23,Males,17,12.7
2022-23,Males,18,9.8
2022-23,Males,19,7.0
2022-23,Males,20 to 29,5.8
2022-23,Males,30 to 39,4.8
2022-23,Males,40 to 49,4.1
2022-23,Males,50 to 59,3.4
2022-23,Males,60 to 69,2.9
2022-23,Males,70 to 79,3.8
2022-23,Males,80 to 89,7.7
2022-23,Males,90 or over,7.6
2022-23,Females,Total,6.9
2022-23,Females,0 to 5,1.0
2022-23,Females,6 to 10,5.2
2022-23,Females,11 to 15,17.9
2022-23,Females,16,22.6
2022-23,Females,17,19.6
2022-23,Females,18,14.7
2022-23,Females,19,10.5
2022-23,Females,20 to 29,8.4
2022-23,Females,30 to 39,6.6
2022-23,Females,40 to 49,4.5
2022-23,Females,50 to 59,3.7
2022-23,Females,60 to 69,3.2
2022-23,Females,70 to 79,5.2
2022-23,Females,80 to 89,15.4
2022-23,Females,90 or over,35.5
